game_id,record_id,home_team,away_team,went_ot,home_off_line,home_def_pairing,away_off_line,away_def_pairing,home_goalie,away_goalie,toi,home_assists,home_shots,home_xg,home_max_xg,home_goals,away_assists,away_shots,away_xg,away_max_xg,away_goals,home_penalties_committed,home_penalty_minutes,away_penalties_committed,away_penalty_minutes,half
game_1,record_1,thailand,pakistan,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_142,player_id_106,628.8,0,2,0.1754,0.0877,0,2,9,1.4645,0.2166,1,7,14,1,2,first
game_1,record_13,thailand,pakistan,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_142,player_id_106,571.2,0,8,1.2396,0.1713,0,0,2,0.1389,0.0802,0,1,2,5,10,first
game_10,record_36,switzerland,kazakhstan,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_86,player_id_192,872.22,0,1,0.1006,0.1006,0,4,12,1.801,0.2069,2,10,20,0,0,first
game_100,record_49,serbia,rwanda,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_12,player_id_62,673.49,2,8,1.2579,0.211,1,0,3,0.2239,0.0765,0,1,2,9,18,first
game_100,record_59,serbia,rwanda,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_12,player_id_62,526.51,0,2,0.1897,0.1079,0,10,9,1.5116,0.2194,5,7,14,1,2,first
game_1000,record_76,brazil,netherlands,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_14,player_id_148,720.0,0,1,0.0733,0.0733,0,0,7,1.1404,0.2137,0,8,16,0,0,first
game_1001,record_92,india,morocco,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_257,player_id_25,595.68,0,4,0.3248,0.1078,0,4,12,2.1533,0.2208,2,7,14,2,4,first
game_1002,record_106,peru,saudi_arabia,1,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_218,player_id_212,948.7,0,5,0.3124,0.0769,0,0,6,0.9538,0.2092,0,10,20,0,0,first
game_1008,record_240,south_korea,oman,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_80,player_id_266,723.79,4,9,1.2993,0.2396,2,1,5,0.3694,0.0826,2,1,2,9,18,first
game_1009,record_245,mongolia,new_zealand,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_220,player_id_36,598.7,0,1,0.0603,0.0603,0,4,9,1.4979,0.2358,2,7,14,0,0,first
game_1010,record_291,netherlands,iceland,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_148,player_id_16,707.51,0,7,1.1771,0.2242,0,0,0,0.0,0.0,0,1,2,5,13,first
game_1010,record_295,netherlands,iceland,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_148,player_id_16,840.0,0,2,0.1441,0.0746,0,4,7,1.016,0.2031,2,8,16,1,2,first
game_1012,record_332,mexico,usa,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_103,player_id_152,360.0,0,7,1.3359,0.2539,1,0,1,0.069,0.069,0,0,0,4,8,first
game_1013,record_340,panama,rwanda,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_293,player_id_62,960.0,7,17,2.7757,0.2425,4,0,4,0.2569,0.1057,0,2,4,12,24,first
game_1015,record_382,brazil,singapore,1,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_14,player_id_123,806.18,2,11,2.1419,0.2546,2,0,5,0.4276,0.1127,0,2,4,10,20,first
game_1017,record_429,thailand,switzerland,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_142,player_id_86,630.88,2,14,2.2377,0.1719,1,0,1,0.0536,0.0536,0,1,2,6,12,first
game_1019,record_459,rwanda,germany,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_62,player_id_75,654.08,1,3,0.2864,0.096,1,0,10,1.5801,0.2239,0,7,14,1,2,first
game_102,record_485,switzerland,ethiopia,1,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_86,player_id_258,1083.74,2,7,0.5562,0.112,1,0,10,1.3796,0.2159,0,15,30,3,6,first
game_102,record_487,switzerland,ethiopia,1,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_86,player_id_258,459.92,2,8,1.2893,0.1955,2,0,0,0.0,0.0,0,0,0,8,16,first
game_1024,record_581,uae,new_zealand,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_259,player_id_36,480.0,0,0,0.0,0.0,0,7,16,3.079,0.2302,4,7,14,0,0,first
game_1024,record_585,uae,new_zealand,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_259,player_id_36,360.0,0,8,1.1559,0.1543,0,0,2,0.1775,0.1073,0,1,2,3,6,first
game_1026,record_618,serbia,china,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_12,player_id_216,480.0,0,10,1.4866,0.1563,0,0,2,0.1648,0.0848,0,1,2,5,10,first
game_1026,record_627,serbia,china,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_12,player_id_216,480.0,0,1,0.0703,0.0703,0,5,9,1.3051,0.1471,3,4,8,1,2,first
game_1027,record_635,mexico,guatemala,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_103,player_id_141,600.0,0,2,0.1567,0.0794,0,5,9,1.1687,0.145,3,5,10,2,4,first
game_1028,record_660,indonesia,mongolia,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_93,player_id_220,715.71,5,12,1.9489,0.2159,3,0,0,0.0,0.0,0,0,0,8,16,first
game_1029,record_679,morocco,singapore,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_25,player_id_123,543.61,0,4,0.2858,0.0734,0,0,7,1.0519,0.1711,1,5,10,1,2,first
game_103,record_685,uae,morocco,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_259,player_id_25,612.15,0,1,0.0588,0.0588,0,12,12,1.8761,0.2079,6,9,21,0,0,first
game_103,record_696,uae,morocco,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_259,player_id_25,480.0,0,8,1.0803,0.1407,0,0,2,0.1211,0.0632,0,1,2,6,12,first
game_1030,record_710,panama,pakistan,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_293,player_id_106,480.0,2,8,1.3918,0.2404,1,0,1,0.0601,0.0601,0,1,2,6,12,first
game_1031,record_740,brazil,usa,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_14,player_id_152,743.52,0,1,0.1044,0.1044,0,2,11,1.748,0.2188,1,10,20,2,4,first
game_1032,record_750,ethiopia,saudi_arabia,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_258,player_id_212,720.0,0,2,0.1623,0.0858,0,3,15,1.9552,0.1399,2,6,12,0,0,first
game_1033,record_767,serbia,oman,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_12,player_id_266,480.0,0,2,0.1878,0.1162,0,1,9,1.2258,0.1626,1,6,12,2,4,first
game_1033,record_770,serbia,oman,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_12,player_id_266,714.82,2,8,1.5026,0.2407,1,0,2,0.1959,0.1027,0,1,2,10,22,first
game_1034,record_786,uk,usa,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_40,player_id_152,600.0,0,9,1.4852,0.177,0,0,1,0.0759,0.0759,0,1,2,5,10,first
game_1035,record_811,south_korea,kazakhstan,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_80,player_id_192,301.67,0,2,0.1592,0.0892,0,2,7,1.4454,0.2232,1,5,10,0,0,first
game_1036,record_832,mongolia,morocco,1,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_220,player_id_25,600.0,4,10,1.2129,0.1342,3,1,2,0.1498,0.076,1,0,0,5,10,first
game_1038,record_866,guatemala,canada,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_141,player_id_232,840.0,0,1,0.0642,0.0642,0,0,9,1.0942,0.1415,0,8,16,3,6,first
game_1038,record_875,guatemala,canada,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_141,player_id_232,720.0,4,7,1.0854,0.2112,2,0,3,0.1605,0.0556,0,0,0,7,14,first
game_1039,record_889,germany,vietnam,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_75,player_id_60,441.76,4,7,1.4935,0.2496,2,0,1,0.0703,0.0703,0,0,0,6,12,first
game_1040,record_931,singapore,thailand,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_123,player_id_142,627.61,3,9,1.3604,0.1762,3,0,3,0.2144,0.0781,1,2,4,5,10,first
game_1043,record_995,philippines,uae,1,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_38,player_id_259,778.0,1,11,1.7589,0.2155,1,1,3,0.2302,0.1293,1,0,0,8,16,first
game_1044,record_1005,brazil,mexico,0,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_14,player_id_103,922.01,0,7,0.5433,0.0814,1,6,12,1.6854,0.1561,3,9,18,1,2,first
game_1045,record_1022,rwanda,panama,1,PP_kill_dwn,PP_kill_dwn,PP_up,PP_up,player_id_62,player_id_293,510.39,0,1,0.0586,0.0586,0,2,8,1.559,0.22,1,6,12,1,2,first
game_1046,record_1042,switzerland,india,0,PP_up,PP_up,PP_kill_dwn,PP_kill_dwn,player_id_86,player_id_257,668.35,2,9,1.1733,0.1422,1,0,1,0.0668,0.0668,0,1,2,6,14,first
