game_id,home_team,away_team,went_ot,total_toi,home_goals,away_goals,home_xg,away_xg,home_shots,away_shots,home_win,goal_diff
game_1,thailand,pakistan,0,3599.9900000000002,1,3,2.8230999999999997,2.7516,21,24,0,-2
game_10,switzerland,kazakhstan,0,3600.01,4,3,1.9254,3.3189,20,30,1,1
game_100,serbia,rwanda,0,3600.0,4,5,3.6712,3.024,30,27,0,-1
game_1000,brazil,netherlands,0,3600.03,5,0,3.5905,2.5261,32,27,1,5
game_1001,india,morocco,0,3599.99,2,3,3.4592,3.7658000000000005,32,29,0,-1
game_1002,peru,saudi_arabia,1,5676.92,0,1,3.3131,2.5685000000000002,35,23,0,-1
game_1003,china,pakistan,0,3600.01,4,3,2.1864,3.3309,20,34,1,1
game_1004,switzerland,uk,0,3600.0,1,4,1.5251,2.7155,18,26,0,-3
game_1005,serbia,philippines,0,3599.99,2,1,2.4898,2.4407,24,27,1,1
game_1006,germany,canada,0,3600.02,5,1,3.1746,2.1493,29,19,1,4
game_1007,guatemala,ethiopia,0,3600.01,4,2,3.1553,1.7116,31,21,1,2
game_1008,south_korea,oman,0,3599.98,4,2,3.2679,1.873,30,18,1,2
game_1009,mongolia,new_zealand,0,3599.98,2,7,2.4405,3.4256,26,30,0,-5
game_101,canada,panama,0,3600.0,2,4,2.8035,2.3543,24,22,0,-2
game_1010,netherlands,iceland,0,3599.99,0,4,2.2677,2.0596,19,20,0,-4
game_1011,indonesia,uae,0,3599.99,2,1,2.3026999999999997,1.7261,27,15,1,1
game_1012,mexico,usa,0,3599.98,4,3,3.8837,2.001,32,18,1,1
game_1013,panama,rwanda,0,3600.0,5,1,3.5503,2.2175,25,24,1,4
game_1014,kazakhstan,france,0,3599.99,1,6,1.4778,3.4081,15,29,0,-5
game_1015,brazil,singapore,1,3875.59,5,4,5.3765,3.3193,39,37,1,1
game_1016,thailand,vietnam,0,3599.98,3,1,3.1693000000000002,2.8072,23,30,1,2
game_1017,thailand,switzerland,0,3599.9900000000002,5,0,4.5169999999999995,0.8815,35,12,1,5
game_1018,ethiopia,france,0,3600.01,3,6,3.271,3.024,30,28,0,-3
game_1019,rwanda,germany,0,3599.9900000000002,2,1,2.6954,2.5322999999999998,23,20,1,1
game_102,switzerland,ethiopia,1,4831.56,4,3,4.0929,3.1363,41,31,1,1
game_1020,canada,saudi_arabia,0,3600.0,5,3,1.8603,2.2325,19,23,1,2
game_1021,philippines,kazakhstan,1,4449.4,1,0,1.5471,2.3172,17,29,1,1
game_1022,netherlands,india,0,3600.01,2,3,4.0264,2.2817,34,28,0,-1
game_1023,iceland,uk,0,3600.01,1,4,2.8753,3.1719,25,30,0,-3
