goalie,xga,ga,toi,gsax,gsax_per60
player_id_38,235.3583,185,310654.69999999995,50.358300000000014,0.5835735947339604
player_id_257,237.3053,192,306060.51,45.30529999999999,0.5328981514145682
player_id_16,246.9443,205,301631.35,41.9443,0.5006093696825612
player_id_218,213.9307,176,309474.51,37.9307,0.4412334960963344
player_id_123,298.67539999999997,265,308425.18,33.67539999999997,0.39306596173503044
player_id_14,221.6006,188,303507.76,33.600599999999986,0.39854717388445005
player_id_293,239.5214,208,300749.66000000003,31.5214,0.3773139427655545
player_id_40,238.5301,208,304030.75,30.530100000000004,0.3615040912802406
player_id_148,201.13459999999998,172,307708.47,29.134599999999978,0.3408569156383636
player_id_216,219.0779,190,303626.56,29.0779,0.344767071760784
player_id_93,237.6286,209,305188.66000000003,28.628600000000006,0.3377024559169401
player_id_212,229.42860000000002,201,307515.68999999994,28.428600000000017,0.3328056529408307
player_id_220,265.9767,241,302843.18,24.976699999999994,0.29690653756838764
player_id_106,232.79399999999998,209,300049.62,23.793999999999983,0.28548078147874323
player_id_258,261.0517,243,300350.47,18.051699999999983,0.21636763211990293
player_id_60,270.1364,255,306700.92000000004,15.13639999999998,0.17766832913315006
player_id_36,237.1681,225,299146.43000000005,12.16810000000001,0.14643383843825256
player_id_86,236.9896,229,309790.99,7.989599999999996,0.09284505014171002
player_id_12,262.5233,261,298993.42000000004,1.523300000000006,0.018341139413703557
player_id_141,231.6914,234,302161.21,-2.3086000000000126,-0.027505052683632174
player_id_266,278.62850000000003,282,302745.16000000003,-3.371499999999969,-0.04009114464455811
player_id_152,280.179,285,301590.15,-4.821000000000026,-0.057546972273464815
player_id_259,241.13,249,309570.61,-7.8700000000000045,-0.09152031583359937
player_id_62,255.26510000000002,264,301166.0,-8.734899999999982,-0.1044129815450613
player_id_192,230.3395,243,300805.89,-12.660500000000013,-0.15151897457858968
player_id_75,251.56629999999998,272,298569.13,-20.433700000000016,-0.2463795235629352
player_id_25,242.865,266,307919.02,-23.13499999999999,-0.2704802061269225
player_id_142,220.54410000000001,248,301414.53,-27.455899999999986,-0.3279246027057818
player_id_208,232.2853,262,305836.72,-29.714699999999993,-0.34977134204159654
player_id_103,222.0814,252,306334.13,-29.918599999999998,-0.35159960791832107
player_id_232,232.8128,263,302880.22,-30.18719999999999,-0.358801641124006
empty_net,38.757099999999994,76,94659.7,-37.242900000000006,-1.4163835296329907
player_id_80,249.48239999999998,296,302226.18000000005,-46.517600000000016,-0.5540994496241193
